Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Type,Column,Expression,Accuracy,Description,Rank,Proximity
Корневой узел,,,,,,,,C,Описание / Description,,,,0,pxm_001
Корневой узел,Действия/задачи,,,,,,,G,Описание / Description,,,,0,pxm_001
Корневой узел,Действия/задачи,3D моделирование,,,,,,?,Описание / Description,"""3D моделирование"" or ""3D-моделирование""",,,0,pxm_001
Корневой узел,Действия/задачи,Адаптация моделей и методик к новым контекстам,,,,,,C,Описание / Description,"""Адаптация моделей и методик к новым контекстам""
or
snear(4, singleroot(адаптация), модель or методика)
or ""Adapting models and techniques to new contexts"" or  ""адаптирование новых технологий"" 
or phrase(4,""адаптирование"" or ""адаптация"",""новые"",""технологии"") 
or phrase(4,""adopting"",""new"",""technologies"") 
or phrase(4,""adapt"",""new"",""technologies"") 
or phrase(4,""adapting"",""emerging"",""technologies"") 
or phrase(4,""adapt"",""emerging"",""technologies"")",,,0,pxm_001
Корневой узел,Действия/задачи,Адаптация моделей и методик к новым контекстам,Адаптирование новых технологий,,,,,?,Описание / Description,"""адаптирование новых технологий"" 
or phrase(4,""адаптирование"" or ""адаптация"",""новые"",""технологии"") 
or phrase(4,""adopting"",""new"",""technologies"") 
or phrase(4,""adapt"",""new"",""technologies"") 
or phrase(4,""adapting"",""emerging"",""technologies"") 
or phrase(4,""adapt"",""emerging"",""technologies"")",,,0,pxm_001
Корневой узел,Действия/задачи,Анализ больших данных,,,,,,?,Описание / Description,"""Анализ больших данных"" 

or phrase(4,""анализ"" or ""анализировать"" or ""аналитика"" or ""аналитик"",""большие данные"" 
or ""BigData"" or ""Big Data"" or ""датасет"" or phrase(""большой объем"" or ""массив"" 
or ""количество"",""данные"")) 
or ""data-аналитик"" or ""data аналитик"" or ""дата аналитик"" or ""data analyst"" 
or ""data-analyst"" or phrase(2,""analyse"",""vast"",""amounts"",""of"",""data"") 
or phrase(2,""analyze"",""BigData"" or ""Big Data"") 
or phrase(2,""analysis"",""of"",""large"",""data"",""volumes"") 
or phrase(2,""analysis"",of,""data set"" or ""datasets"") 
or phrase(2,""analysis"",of,""massive-scale"",""data"") 
or phrase(2,""set"" or ""body"",""of"",""data"") 
or phrase(2,""analysis"" or ""analyse"" or ""analytics"" or ""analyze"",""BigData"" or ""Big Data"") 
or phrase(2,""BigData"" or ""Big Data"",""analysis"") 
or phrase(2,""analysis"" or ""analyse"" or ""analytics"" or ""analyze"",""large"" or ""high"",
""amount"" or ""volume"",""of"",""data"") 
or phrase(2,""screening"",""datasets"" or ""data set"")",,,0,pxm_001
Корневой узел,Действия/задачи,Анализ системы ценностей,,,,,,?,Описание / Description,"""Анализ системы ценностей"" or ""personal value assessment""
or phrase(3,анализ, система, ценность)",,,0,pxm_001
Корневой узел,Действия/задачи,Анализ цифрового следа,,,,,,?,Описание / Description,"""Интерпретация цифрового следа"" 
or ""Анализ цифрового следа"" 
or ""Analysis of Digital Footprints""
or phrase(0, анализ|обработка|анализировать|обрабатывать|интерпретировать, 
""цифровой след"")",,,0,pxm_001
Корневой узел,Действия/задачи,Визуализация данных,,,,,,?,Описание / Description,"""Gephi"" or ""Tableau"" or ""Tableu"" or ""Orange"" 
or snear(3,singleroot(""визуализация""), ""данных"" or ""информация"" or ""результаты"" or 
""взаимосвязи"") 
or snear(singleroot(""работать""), ""с"",""дизайн"") 
or phrase(""инструменты"" or ""графическая"", ""визуализация"") 
or phrase(2,""data"",""visualisation"")",,,0,pxm_001
Корневой узел,Действия/задачи,Детектирование опасных показателей в медицинских экспериментах в Jupiter,,,,,,?,Описание / Description,"""Детектирование опасных показателей в медицинских экспериментах в Jupiter""",,,0,pxm_001
Корневой узел,Действия/задачи,Диагностика,,,,,,?,Описание / Description,Диагностика,,,0,pxm_001
Корневой узел,Действия/задачи,Диагностика компетенций,,,,,,C,Описание / Description,"""Диагностика компетенций"" 
or ""diagnosis of competencies""
or phrase(0, singleroot(Диагностика, оценка), компетенции) 
or ""принципы онлайн диагностики"" or ""принципы онлайн-диагностики"" 
or ""approach to online diagnosis"" 
or ""approach to online assessment""
or ""Онлайн диагностика в игровом формате"" or ""Online diagnosis through games"" or  ""Онлайн диагностика в игровом формате"" or ""Online diagnosis through games""",,,0,pxm_001
Корневой узел,Действия/задачи,Диагностика компетенций,Онлайн диагностика в игровом формате,,,,,?,Описание / Description,"""Онлайн диагностика в игровом формате"" or ""Online diagnosis through games""",,,0,pxm_001
Корневой узел,Действия/задачи,Изучение инностранных языков,,,,,,C,Описание / Description,"""Изучение иностранных языков"" or ""Language foreign Learning""

or phrase(3,singleroot(учить,изучать),язык)
or phrase(3,singleroot(учить,изучать),английский)
or phrase(3,singleroot(учить,изучать),французский)
or phrase(3,singleroot(учить,изучать),китайский)
or phrase(3,singleroot(учить,изучать),немецкий)
or phrase(3,singleroot(учить,изучать),французский)
or phrase(3,singleroot(учить,изучать),японский)",,,0,pxm_001
Корневой узел,Действия/задачи,Изучение инностранных языков,Изучение английского языка,,,,,?,Описание / Description,"phrase(3,singleroot(учить,изучать),английский)",,,0,pxm_001
Корневой узел,Действия/задачи,Изучение инностранных языков,Изучение испанского языка,,,,,?,Описание / Description,"phrase(3,singleroot(учить,изучать),французский)",,,0,pxm_001
Корневой узел,Действия/задачи,Изучение инностранных языков,Изучение немецкого языка,,,,,?,Описание / Description,"phrase(3,singleroot(учить,изучать),немецкий)",,,0,pxm_001
Корневой узел,Действия/задачи,Изучение инностранных языков,Изучение французского языка,,,,,?,Описание / Description,"phrase(3,singleroot(учить,изучать),французский)",,,0,pxm_001
Корневой узел,Действия/задачи,Изучение инностранных языков,Изучение китайского языка,,,,,?,Описание / Description,"phrase(3,singleroot(учить,изучать),китайский)",,,0,pxm_001
Корневой узел,Действия/задачи,Изучение инностранных языков,Изучение японского языка,,,,,?,Описание / Description,"phrase(3,singleroot(учить,изучать),японский)",,,0,pxm_001
Корневой узел,Действия/задачи,Задача постановки цели,,,,,,?,Описание / Description,"sentence(""формулировать"" or ""формулирование"", ""цель"")
or possible(""мотивация"", ""целеполагание"", ""мотивировать"")
or [OKR]  or ""Objectives and Key Results""
or phrase(2,""постановка целей"") 
or ""goal-setting"" or ""goal setting"" or phrase(2,""target"",""setting"") 
or phrase(2,""results"",""framework"") or phrase(3,""goal-setting"",""system"")
or ""Formulation of objectives""",,,0,pxm_001
Корневой узел,Действия/задачи,Изучение языков программирования,,,,,,?,Описание / Description,"phrase (3,singleroot(учить, изучать),язык, программирование)
or phrase (3,singleroot(учить, изучать),синтаксис)",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,,,,,,C,Описание / Description,"phrase(3, Искусственный,  интеллект, задачи) 
or phrase(4, Artificial, Intelligence, Solved, problems)
or ""AI.Tasks"" or  ""Биометрия"" or ""Biometrics"" or  ""Верификация человека""    or ""Human Verification"" or  ""Идентификация человека""    or ""Human Identification"" or  ""Интеллектуальный анализ данных"" or ""Data Mining"" or  ""Классификация данных""    or  ""Data classification"" or  ""Кластеризация""    or ""Cluster analysis""
 or  ""Поиск аномалий""    or ""Search for anomalies"" or  phrase(3,Поиск, зависимостей or закономерностей) 
or phrase(3,data, dependencies or patterns, recognition or detection) 
or ""Search for data dependencies and patterns"" or  Регрессия  or Regression or  ""Сжатие данных"" or Data Compression or  ""компьютерное зрение"" or ""computer vision""
 or  ""Детектирование изображения""    or ""Image Detection""
 or  ""Классификация изображений""    or ""Image Classification"" or  ""описание изображения текстом""    or ""image description text"" or  ""оценка позы и точек лица""   or phrase(3, assessment, ""postures"" or ""points of the face"") or  ""распознавание действий на видео"" 
or phrase(3,recognition, actions, video) 
or ""recognition of actions on video"" or  ""ре-идентификация"" or ""ReId""  or ""re-identification"" or  ""Сегментация""    or ""Segmentation"" or  ""трекинг""    or tracking or  ""NLP"" or  ""обработка естественного языка"" 
or ""Обработка естественного языка"" 
or ""Natural Language Processing"" 
or ""чат бот"" or чатбот or ""чат-бот"" 
or phrase(распознавание|синтез|анализ, текст|речь|голос) or  ""Автоматическая рубрикация""  
or ""Auto Category"" 
or ""Auto-categorization"" 
or ""Autocategorization"" or  phrase(3,Избирательное, распространение, информации) or phrase(3,Selective dissemination , information) or  ""Рубрикатор"" or ""Rubricator"" or  ""Рубрикация текстов"" or ""Text rubrication"" or  ""Анализ текстов""  or ""Text Analysis""
 or  ""Алгоритм синтаксического анализа"" or ""Parsing Algorithm""
 or  ""Лексический анализ"" or ""Lexical analysis""
 or  ""Морфологический анализ"" or ""Morphological analysis"" or  ""Семантический анализ"" or ""Semantic analysis"" or  ""Синтаксическая структура текста"" or ""Text syntax structure"" or  ""Синтаксический анализ"" or ""Syntactical analysis"" or  ""Синтаксический анализатор"" or ""Syntactical analyzer"" or  ""вопросно-ответные системы""  or ""question and answer systems"" or ""Q&A systems"" or  ""диалоговые системы"" or ""dialogue systems"" or  phrase(3, извлечения, фактов or отношений or объектов) 
or phrase(3, relationships or feature or attributes or objects or 
factual,extraction) 
or ""extracting facts and relations"" or  phrase(3,извлечение, именованных, сущностей)
or  ""NER"" or phrase(3,extraction, named, entities)
or ""Named Entity Recognition""
 or  phrase(5,классификация, запросов, колл,центра)    
or  phrase(4, call or request,  classification) 
or ""call center request classification"" or  ""классификация текстов""    or phrase(2,classification, texts) 
or ""text classification""
 or  ""Кластеризация текстов""  or "" Text clustering"" or  ""Лингвистический анализ"" 
or
orn(лингвистика, лингвистический, семантика, семантический) or ""linguistic analysis"" or ""Natural Language Processing"" or ""NLP"" or  ""Онтологический анализ"" 
or ""Ontological analysis"" 
or онтология or  ""Семантический анализ"" or ""семантическое моделирование"" or ""семантическая модель"" 
or ""Semantic analysis""or ""semantic modeling"" or ""semantic model"" or  ""word2vec""
or
""вордтувек""
or
""ворд ту век""
or
""word to vec""
or
""w2v"" or  ""Синтаксический и грамматический анализ""
or
phrase(2, Синтаксический or грамматический, анализ)
or phrase (2, Syntactic or grammar, analysis) or  ""Машинный перевод""  or ""Machine Translation"" or  ""Нейронный машинный перевод"" or ""Neural Machine Translation"" or  ""Перевод"" or ""Translation"" or  ""Искусственный интеллект"" or ""Восприятие компьютером окружающего мира"" or 
""Обработка естественного языка"" or ""Машинный перевод"" or ""Программа-переводчик""
or Translator or  ""Моделирование рассуждений""   or ""Reasoning modeling"" or  ""Моделирование логического вывода""  or ""Inference Modeling"" or  ""Рассуждения на правилах"" or ""Reasoning on the rules"" or  ""Морфологический анализ""  or ""Morphological analysis"" or  ""саммаризация""    or ""summarization"" or  ""Система автоматического реферирования"" or ""Auto Referencing System""
 or  ""чат бот"" or ""chatbot"" or ""бот"" or ""чат-бот"" or чатбот or  ""Рекомендательные системы"" 
or ""recommendation systems"" 
or ""Recommender Systems"" or  ""Неперсонализированные рекомендации"" 
or ""non-personalized recomendation"" 
or ""Non-personalized recommendations"" or  ""Персонализированные рекомендации"" 
or ""personalized recomendation"" 
or ""Personalized recommendations"" or  phrase(3,Speech or voice, analysis or processing, Technologies) or ""технологии обработки человеческой речи"" or  phrase(3,Идентификация, голосу)  or  phrase(3,Voice, Identification)
 or  ""Распознавание речи""    or ""Speech recognition"" or  ""Распознавание человека по голосу""    or phrase(3,Recognition , person,  voice) or  ""Синтез речи""    or ""Speech synthesis""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи биометрии,,,,,C,Описание / Description,"""Верификация человека""    or ""Human Verification"" or  ""Идентификация человека""    or ""Human Identification""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи биометрии,Верификация человека,,,,?,Описание / Description,"""Верификация человека""    or ""Human Verification""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи биометрии,Идентификация человека,,,,?,Описание / Description,"""Идентификация человека""    or ""Human Identification""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи интеллектуального анализа данных,,,,,C,Описание / Description,"""Интеллектуальный анализ данных"" or ""Data Mining"" or  ""Классификация данных""    or  ""Data classification"" or  ""Кластеризация""    or ""Cluster analysis""
 or  ""Поиск аномалий""    or ""Search for anomalies"" or  phrase(3,Поиск, зависимостей or закономерностей) 
or phrase(3,data, dependencies or patterns, recognition or detection) 
or ""Search for data dependencies and patterns"" or  Регрессия  or Regression or  ""Сжатие данных"" or Data Compression",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи интеллектуального анализа данных,Задача классификации данных,,,,?,Описание / Description,"phrase(3, задача, классификации)",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи интеллектуального анализа данных,Задача кластеризации данных,,,,?,Описание / Description,"phrase(3, задача, кластеризации)
",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи интеллектуального анализа данных,Задача регрессии данных,,,,?,Описание / Description,"""Регрессия данных""  or Regression",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи интеллектуального анализа данных,Поиск аномалий,,,,?,Описание / Description,"""Поиск аномалий""    or ""Search for anomalies""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи интеллектуального анализа данных,Поиск зависимостей и закономерностей в данных,,,,?,Описание / Description,"phrase(3,Поиск, зависимостей or закономерностей) 
or phrase(3,data, dependencies or patterns, recognition or detection) 
or ""Search for data dependencies and patterns""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи интеллектуального анализа данных,Сжатие данных,,,,?,Описание / Description,"""Сжатие данных"" or Data Compression",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,,,,,C,Описание / Description,"""компьютерное зрение"" or ""computer vision""
 or  ""Детектирование изображения""    or ""Image Detection""
 or  ""Классификация изображений""    or ""Image Classification"" or  ""описание изображения текстом""    or ""image description text"" or  ""оценка позы и точек лица""   or phrase(3, assessment, ""postures"" or ""points of the face"") or  ""распознавание действий на видео"" 
or phrase(3,recognition, actions, video) 
or ""recognition of actions on video"" or  ""ре-идентификация"" or ""ReId""  or ""re-identification"" or  ""Сегментация""    or ""Segmentation"" or  ""трекинг""    or tracking",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,Детектирование изображений,,,,?,Описание / Description,"""Детектирование изображения""    or ""Image Detection""
",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,Классификация изображений,,,,?,Описание / Description,"""Классификация изображений""    or ""Image Classification""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,описание изображения текстом,,,,?,Описание / Description,"""описание изображения текстом""    or ""image description text""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,оценка позы и точек лица,,,,?,Описание / Description,"""оценка позы и точек лица""   or phrase(3, assessment, ""postures"" or ""points of the face"")",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,распознавание действий на видео,,,,?,Описание / Description,"""распознавание действий на видео"" 
or phrase(3,recognition, actions, video) 
or ""recognition of actions on video""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,ре-идентификация,,,,?,Описание / Description,"""ре-идентификация"" or ""ReId""  or ""re-identification""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,Сегментация,,,,?,Описание / Description,"""Сегментация""    or ""Segmentation""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи компьютерного зрение,трекинг,,,,?,Описание / Description,"""трекинг""    or tracking",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),,,,,C,Описание / Description,"""NLP"" or  ""обработка естественного языка"" 
or ""Обработка естественного языка"" 
or ""Natural Language Processing"" 
or ""чат бот"" or чатбот or ""чат-бот"" 
or phrase(распознавание|синтез|анализ, текст|речь|голос) or  ""Автоматическая рубрикация""  
or ""Auto Category"" 
or ""Auto-categorization"" 
or ""Autocategorization"" or  phrase(3,Избирательное, распространение, информации) or phrase(3,Selective dissemination , information) or  ""Рубрикатор"" or ""Rubricator"" or  ""Рубрикация текстов"" or ""Text rubrication"" or  ""Анализ текстов""  or ""Text Analysis""
 or  ""Алгоритм синтаксического анализа"" or ""Parsing Algorithm""
 or  ""Лексический анализ"" or ""Lexical analysis""
 or  ""Морфологический анализ"" or ""Morphological analysis"" or  ""Семантический анализ"" or ""Semantic analysis"" or  ""Синтаксическая структура текста"" or ""Text syntax structure"" or  ""Синтаксический анализ"" or ""Syntactical analysis"" or  ""Синтаксический анализатор"" or ""Syntactical analyzer"" or  ""вопросно-ответные системы""  or ""question and answer systems"" or ""Q&A systems"" or  ""диалоговые системы"" or ""dialogue systems"" or  phrase(3, извлечения, фактов or отношений or объектов) 
or phrase(3, relationships or feature or attributes or objects or 
factual,extraction) 
or ""extracting facts and relations"" or  phrase(3,извлечение, именованных, сущностей)
or  ""NER"" or phrase(3,extraction, named, entities)
or ""Named Entity Recognition""
 or  phrase(5,классификация, запросов, колл,центра)    
or  phrase(4, call or request,  classification) 
or ""call center request classification"" or  ""классификация текстов""    or phrase(2,classification, texts) 
or ""text classification""
 or  ""Кластеризация текстов""  or "" Text clustering"" or  ""Лингвистический анализ"" 
or
orn(лингвистика, лингвистический, семантика, семантический) or ""linguistic analysis"" or ""Natural Language Processing"" or ""NLP"" or  ""Онтологический анализ"" 
or ""Ontological analysis"" 
or онтология or  ""Семантический анализ"" or ""семантическое моделирование"" or ""семантическая модель"" 
or ""Semantic analysis""or ""semantic modeling"" or ""semantic model"" or  ""word2vec""
or
""вордтувек""
or
""ворд ту век""
or
""word to vec""
or
""w2v"" or  ""Синтаксический и грамматический анализ""
or
phrase(2, Синтаксический or грамматический, анализ)
or phrase (2, Syntactic or grammar, analysis) or  ""Машинный перевод""  or ""Machine Translation"" or  ""Нейронный машинный перевод"" or ""Neural Machine Translation"" or  ""Перевод"" or ""Translation"" or  ""Искусственный интеллект"" or ""Восприятие компьютером окружающего мира"" or 
""Обработка естественного языка"" or ""Машинный перевод"" or ""Программа-переводчик""
or Translator or  ""Моделирование рассуждений""   or ""Reasoning modeling"" or  ""Моделирование логического вывода""  or ""Inference Modeling"" or  ""Рассуждения на правилах"" or ""Reasoning on the rules"" or  ""Морфологический анализ""  or ""Morphological analysis"" or  ""саммаризация""    or ""summarization"" or  ""Система автоматического реферирования"" or ""Auto Referencing System""
 or  ""чат бот"" or ""chatbot"" or ""бот"" or ""чат-бот"" or чатбот",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Автоматическая рубрикация,,,,C,Описание / Description,"""Автоматическая рубрикация""  
or ""Auto Category"" 
or ""Auto-categorization"" 
or ""Autocategorization"" or  phrase(3,Избирательное, распространение, информации) or phrase(3,Selective dissemination , information) or  ""Рубрикатор"" or ""Rubricator"" or  ""Рубрикация текстов"" or ""Text rubrication""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Автоматическая рубрикация,Избирательное распространение информации,,,?,Описание / Description,"phrase(3,Избирательное, распространение, информации) or phrase(3,Selective dissemination , information)",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Автоматическая рубрикация,Рубрикатор,,,?,Описание / Description,"""Рубрикатор"" or ""Rubricator""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Автоматическая рубрикация,Рубрикация текстов,,,?,Описание / Description,"""Рубрикация текстов"" or ""Text rubrication""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Анализ текстов,,,,C,Описание / Description,"""Анализ текстов""  or ""Text Analysis""
 or  ""Алгоритм синтаксического анализа"" or ""Parsing Algorithm""
 or  ""Лексический анализ"" or ""Lexical analysis""
 or  ""Морфологический анализ"" or ""Morphological analysis"" or  ""Семантический анализ"" or ""Semantic analysis"" or  ""Синтаксическая структура текста"" or ""Text syntax structure"" or  ""Синтаксический анализ"" or ""Syntactical analysis"" or  ""Синтаксический анализатор"" or ""Syntactical analyzer""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Анализ текстов,Алгоритм синтаксического анализа,,,?,Описание / Description,"""Алгоритм синтаксического анализа"" or ""Parsing Algorithm""
",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Анализ текстов,Лексический анализ,,,?,Описание / Description,"""Лексический анализ"" or ""Lexical analysis""
",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Анализ текстов,Морфологический анализ,,,?,Описание / Description,"""Морфологический анализ"" or ""Morphological analysis""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Анализ текстов,Семантический анализ,,,?,Описание / Description,"""Семантический анализ"" or ""Semantic analysis"" or  ""Семантический анализ"" or ""семантическое моделирование"" or ""семантическая модель"" 
or ""Semantic analysis""or ""semantic modeling"" or ""semantic model"" or  ""word2vec""
or
""вордтувек""
or
""ворд ту век""
or
""word to vec""
or
""w2v""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Анализ текстов,Синтаксическая структура текста,,,?,Описание / Description,"""Синтаксическая структура текста"" or ""Text syntax structure""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Анализ текстов,Синтаксический анализ,,,?,Описание / Description,"""Синтаксический анализ"" or ""Syntactical analysis""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Анализ текстов,Синтаксический анализатор,,,?,Описание / Description,"""Синтаксический анализатор"" or ""Syntactical analyzer""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),вопросно-ответные системы,,,,?,Описание / Description,"""вопросно-ответные системы""  or ""question and answer systems"" or ""Q&A systems""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),диалоговые системы,,,,?,Описание / Description,"""диалоговые системы"" or ""dialogue systems""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),задача извлечения фактов и отношений,,,,?,Описание / Description,"phrase(3, извлечения, фактов or отношений or объектов) 
or phrase(3, relationships or feature or attributes or objects or 
factual,extraction) 
or ""extracting facts and relations""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),извлечение именованных сущностей,,,,?,Описание / Description,"phrase(3,извлечение, именованных, сущностей)
or  ""NER"" or phrase(3,extraction, named, entities)
or ""Named Entity Recognition""
",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),классификация запросов для колл-центра,,,,?,Описание / Description,"phrase(5,классификация, запросов, колл,центра)    
or  phrase(4, call or request,  classification) 
or ""call center request classification""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),классификация текстов,,,,?,Описание / Description,"""классификация текстов""    or phrase(2,classification, texts) 
or ""text classification""
",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Кластеризация текстов,,,,?,Описание / Description,"""Кластеризация текстов""  or "" Text clustering""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Лингвистический анализ,,,,C,Описание / Description,"""Лингвистический анализ"" 
or
orn(лингвистика, лингвистический, семантика, семантический) or ""linguistic analysis"" or ""Natural Language Processing"" or ""NLP"" or  ""Онтологический анализ"" 
or ""Ontological analysis"" 
or онтология or  ""Семантический анализ"" or ""семантическое моделирование"" or ""семантическая модель"" 
or ""Semantic analysis""or ""semantic modeling"" or ""semantic model"" or  ""word2vec""
or
""вордтувек""
or
""ворд ту век""
or
""word to vec""
or
""w2v"" or  ""Синтаксический и грамматический анализ""
or
phrase(2, Синтаксический or грамматический, анализ)
or phrase (2, Syntactic or grammar, analysis)",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Лингвистический анализ,Онтологический анализ,,,?,Описание / Description,"""Онтологический анализ"" 
or ""Ontological analysis"" 
or онтология",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Лингвистический анализ,Семантический анализ,,,C,Описание / Description,"""Семантический анализ"" or ""Semantic analysis"" or  ""Семантический анализ"" or ""семантическое моделирование"" or ""семантическая модель"" 
or ""Semantic analysis""or ""semantic modeling"" or ""semantic model"" or  ""word2vec""
or
""вордтувек""
or
""ворд ту век""
or
""word to vec""
or
""w2v""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Лингвистический анализ,Семантический анализ,Word2Vec,,?,Описание / Description,"""word2vec""
or
""вордтувек""
or
""ворд ту век""
or
""word to vec""
or
""w2v""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Лингвистический анализ,Синтаксический и грамматический анализ,,,?,Описание / Description,"""Синтаксический и грамматический анализ""
or
phrase(2, Синтаксический or грамматический, анализ)
or phrase (2, Syntactic or grammar, analysis)",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Машинный перевод,,,,C,Описание / Description,"""Машинный перевод""  or ""Machine Translation"" or  ""Нейронный машинный перевод"" or ""Neural Machine Translation"" or  ""Перевод"" or ""Translation"" or  ""Искусственный интеллект"" or ""Восприятие компьютером окружающего мира"" or 
""Обработка естественного языка"" or ""Машинный перевод"" or ""Программа-переводчик""
or Translator",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Машинный перевод,Нейронный машинный перевод,,,?,Описание / Description,"""Нейронный машинный перевод"" or ""Neural Machine Translation"" or  ""Нейронный машинный перевод""  or ""Neural Machine Translation""
",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Машинный перевод,Перевод на другой язык,,,?,Описание / Description,"""Перевод"" or ""Translation""",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Машинный перевод,Программа-переводчик,,,?,Описание / Description,"""Искусственный интеллект"" or ""Восприятие компьютером окружающего мира"" or 
""Обработка естественного языка"" or ""Машинный перевод"" or ""Программа-переводчик""
or Translator",,,0,pxm_001
Корневой узел,Действия/задачи,ИИ. Решаемые задачи,Задачи обработки естественного языка (NLP),Моделирование рассуждений,,,,C,Описание / Description,"""Моделирование рассуждений""   or ""Reasoning modeling"" or  ""Моделирование логического вывода""  or ""Inference Modeling"" or  ""Рассуждения на правилах"" or ""Reasoning on the rules""",,,0,pxm_001
